date,realized_var,vix_forecast,garch_forecast,intra_forecast,blair_forecast,regime_forecast
2019-05-20,2.2738456077401653e-05,5.602625958204079e-05,8.171869014482216e-05,4.276645680912887e-05,7.561068538750054e-05,6.269404957042567e-05
2019-05-21,9.726885838128702e-06,3.833409443482799e-05,7.560563162726582e-05,2.2738456077401653e-05,6.64060273603084e-05,4.813834586008041e-05
2019-05-22,9.103416080090474e-06,3.584125281121123e-05,6.046998132095672e-05,9.726885838128702e-06,5.265035642688042e-05,3.477710764778127e-05
2019-05-23,4.414428058242274e-05,6.437183370372042e-05,4.943439995352416e-05,9.103416080090474e-06,5.010279930236484e-05,4.279707919892151e-05
2019-05-24,2.017234620168281e-05,4.979256838410814e-05,7.364953119528399e-05,4.414428058242274e-05,6.631645738397494e-05,5.180203855917508e-05
2019-05-28,6.86871620557316e-05,7.262870853123329e-05,5.7778534961885826e-05,2.017234620168281e-05,5.88610300205939e-05,5.301713140470786e-05
2019-05-29,3.149724843388124e-05,7.851605228200111e-05,6.290904117591068e-05,6.86871620557316e-05,6.446132727077606e-05,6.008383064431471e-05
2019-05-30,2.299454539268479e-05,6.971518189282936e-05,6.1004523512081e-05,3.149724843388124e-05,6.068319566661622e-05,5.2862481603679906e-05
2019-05-31,1.6137633855124378e-05,9.076284189438158e-05,4.7591535875454056e-05,2.299454539268479e-05,5.5008506906874365e-05,5.101823134641375e-05
2019-06-03,5.614598083447466e-05,9.296963854525763e-05,8.040005650878004e-05,1.6137633855124378e-05,8.186016504796238e-05,7.995430466070828e-05
2019-06-04,8.153069511747526e-05,6.482634550811533e-05,6.47472404752103e-05,5.614598083447466e-05,6.238099839719137e-05,5.138151112739131e-05
2019-06-05,3.1647266589364276e-05,5.277484347287947e-05,5.840899732540358e-05,8.153069511747526e-05,5.4427862717385424e-05,4.0626886175034396e-05
2019-06-06,3.9388847048424535e-05,5.0641924227178566e-05,4.655371943053536e-05,3.1647266589364276e-05,4.424068816520798e-05,3.0781479533565995e-05
2019-06-07,4.515364569652446e-05,5.5595416680766956e-05,3.681103614710419e-05,3.9388847048424535e-05,3.7523686245234154e-05,2.622095901990858e-05
2019-06-10,1.5962158289310205e-05,5.0775596723778904e-05,3.043577789188078e-05,4.515364569652446e-05,3.12034729250554e-05,2.7845664583301235e-05
2019-06-11,4.430228627471169e-05,5.137041854474579e-05,2.371366512137763e-05,1.5962158289310205e-05,2.5870335679542412e-05,3.118422196146369e-05
2019-06-12,8.380199232865851e-06,5.03184279087727e-05,1.83719632764072e-05,4.430228627471169e-05,2.1310607448122948e-05,3.3272384874558746e-05
2019-06-13,7.588719594649722e-06,4.907997020116017e-05,1.4873881712067139e-05,8.380199232865851e-06,1.812410981509594e-05,3.3529280119905194e-05
2019-06-14,9.516668200315315e-06,4.207019802725377e-05,1.1365251473436013e-05,7.588719594649722e-06,1.354805497729583e-05,2.9424066221671662e-05
2019-06-17,4.2856923439587856e-06,4.292315697822211e-05,8.986719771499967e-06,9.516668200315315e-06,1.1795877575384894e-05,3.09561800042483e-05
2019-06-18,2.721914508026809e-05,4.0363084265113163e-05,6.440972697974452e-06,4.2856923439587856e-06,9.074604017243438e-06,2.966186502468251e-05
2019-06-19,1.7430239625476523e-05,3.0330097186849046e-05,6.2633623124197435e-06,2.721914508026809e-05,6.561383211166947e-06,2.2193737812837484e-05
2019-06-20,2.9340855674764544e-05,3.5336647580728796e-05,4.636684850287632e-06,1.7430239625476523e-05,6.470972362256983e-06,2.6640032326307378e-05
2019-06-21,1.2329027740293015e-05,4.3513610118997785e-05,4.875743781635214e-06,2.9340855674764544e-05,8.659341202767052e-06,3.274672498305987e-05
2019-06-24,4.898601317865859e-06,4.1732454627909584e-05,3.823632117602766e-06,1.2329027740293015e-05,7.356592634542742e-06,3.1401444105936826e-05
2019-06-25,3.907481346104882e-05,5.509316100664813e-05,3.2853860112447287e-06,4.898601317865859e-06,1.0088670405325733e-05,4.0644730683535784e-05
2019-06-26,1.6219558778529403e-05,5.416428005223326e-05,2.5470172938778002e-05,3.907481346104882e-05,2.7928425490971352e-05,3.107966110673579e-05
2019-06-27,4.857110010501205e-06,4.8859971818329376e-05,1.9801856941947923e-05,1.6219558778529403e-05,2.2030983368723772e-05,2.822124645808648e-05
2019-06-28,9.323255919938734e-06,3.9336755027532436e-05,1.5177174852220045e-05,4.857110010501205e-06,1.5916469906230384e-05,2.2562788687573822e-05
2019-07-01,2.7117613806476357e-05,2.7010851848421568e-05,1.1959271987092523e-05,9.323255919938734e-06,1.0284831580659153e-05,-7.104192096251435e-06
2019-07-02,1.2268374421544693e-05,1.433480832936658e-05,1.0120631058235769e-05,2.7117613806476357e-05,5.767226465599806e-06,-1.4092027330541796e-05
2019-07-03,1.2924595642763386e-05,1.0506766245284222e-05,7.6227054537448995e-06,1.2268374421544693e-05,2.8797001004350184e-06,-1.7489573806796174e-05
2019-07-05,2.7564295877699575e-05,1.813910606442503e-05,6.665997451263051e-06,1.2924595642763386e-05,4.022011993225082e-06,-1.328821869568825e-05
2019-07-08,4.638098075721462e-06,2.5852609104492273e-05,5.789505470597879e-06,2.7564295877699575e-05,5.234157028767727e-06,1.767847760325845e-05
2019-07-09,1.390866722902062e-05,2.7332779878933603e-05,1.0086584227450402e-05,4.638098075721462e-06,9.088770008952723e-06,1.6570452075924647e-05
2019-07-10,1.3564711871156008e-05,1.537074536105063e-05,7.537157342806513e-06,1.390866722902062e-05,4.181366703315776e-06,-1.3337158301847135e-05
2019-07-11,7.357935635838351e-06,1.4290522299159152e-05,5.931111897401973e-06,1.3564711871156008e-05,2.6749208934928206e-06,-1.4586299923006753e-05
2019-07-12,5.788291247524314e-06,8.591465961289733e-06,4.351007908966435e-06,7.357935635838351e-06,8.079606122837963e-08,-1.8467042420768166e-05
2019-07-15,3.2390159533936408e-06,1.1609039265362844e-05,3.4255327899961496e-06,5.788291247524314e-06,1.0088051981258116e-07,-1.7338936871234728e-05
2019-07-16,7.668248009811496e-06,1.3489088578781421e-05,2.278178354829018e-06,3.2390159533936408e-06,-3.432776175971137e-07,-1.661881230070095e-05
2019-07-17,1.7752029869973108e-05,2.5809610614611377e-05,4.394831299830879e-06,7.668248009811496e-06,4.34142970085178e-06,1.8329777124194782e-05
2019-07-18,2.5673555927646893e-05,2.0798206893024658e-05,1.4107743790192496e-05,1.7752029869973108e-05,1.107409504918485e-05,-3.5684893803130704e-06
2019-07-19,3.667470512122951e-05,3.1463320262119626e-05,1.1035512628252273e-05,2.5673555927646893e-05,1.1145912657998626e-05,1.970428843244342e-05
2019-07-22,8.009141188214846e-06,2.0749509160635428e-05,1.8284828497530492e-05,3.667470512122951e-05,1.4569499244533595e-05,-2.49869426996124e-07
2019-07-23,1.207166551874186e-05,1.0714970497654972e-05,1.4107597455582272e-05,8.009141188214846e-06,8.823839084969185e-06,-9.179588725019574e-06
2019-07-24,2.066477214132796e-05,5.164798265609743e-06,1.1623940174521572e-05,1.207166551874186e-05,5.55376104546873e-06,-1.3611297501110609e-05
2019-07-25,1.450841904094207e-05,1.2077077587490374e-05,9.292658127229096e-06,2.066477214132796e-05,5.391317677053681e-06,-1.1284534824955821e-05
2019-07-26,9.36465414213788e-06,6.071646796086593e-06,1.3552908525522755e-05,1.450841904094207e-05,7.531796822067729e-06,-1.0967557827568746e-05
2019-07-29,5.0587626902213955e-06,1.3021367163053438e-05,1.1324177683589193e-05,9.36465414213788e-06,7.37491016010461e-06,-8.579865342100217e-06
2019-07-30,1.0518656373999705e-05,2.5328224085413564e-05,9.261331964732362e-06,5.0587626902213955e-06,8.572085731070865e-06,1.6631701704650956e-05
2019-07-31,0.0001421861164868,5.258167065841957e-05,8.64205253343351e-06,1.0518656373999705e-05,1.437985027513827e-05,3.674550587648138e-05
2019-08-01,0.0001898880240584,7.739281876856287e-05,3.612667831221558e-05,0.0001421861164868,4.3197127256962265e-05,4.4797592901359205e-05
2019-08-02,4.140235718938596e-05,7.365109230685208e-05,4.904213992764214e-05,0.0001898880240584,5.30690252859412e-05,3.655419279084931e-05
2019-08-05,0.0002543663427292,0.00019629369262171752,5.173522897213155e-05,4.140235718938596e-05,8.901252069198712e-05,0.00013814479250310476
2019-08-06,6.005302452278465e-05,0.00011400844017061211,0.00025965727500498607,0.0002543663427292,0.0002132241216189938,0.00022509466465913704
2019-08-07,0.0001949233039493,0.00010266114692269459,0.0001986376663584271,6.005302452278465e-05,0.000159538649413007,0.0001545551995103834
